funcid,dim,milestone,error
8,10,1,7.538186e+01
8,10,2,6.952337e+01
8,10,3,5.709392e+01
8,10,5,4.566097e+01
8,10,10,4.418751e+01
8,10,20,4.119644e+01
8,10,30,3.402043e+01
8,10,40,2.657717e+01
8,10,50,2.657717e+01
8,10,60,2.657717e+01
8,10,70,2.108307e+01
8,10,80,2.108307e+01
8,10,90,2.108307e+01
8,10,100,2.108307e+01
8,10,1,6.974359e+01
8,10,2,5.305968e+01
8,10,3,5.305968e+01
8,10,5,3.968204e+01
8,10,10,3.968204e+01
8,10,20,3.321431e+01
8,10,30,2.106396e+01
8,10,40,2.106396e+01
8,10,50,1.865631e+01
8,10,60,1.865631e+01
8,10,70,1.865631e+01
8,10,80,1.865631e+01
8,10,90,1.865631e+01
8,10,100,1.865631e+01
8,10,1,8.065201e+01
8,10,2,6.330775e+01
8,10,3,6.242293e+01
8,10,5,3.927102e+01
8,10,10,3.927102e+01
8,10,20,3.927102e+01
8,10,30,2.730625e+01
8,10,40,2.730625e+01
8,10,50,2.730625e+01
8,10,60,2.730625e+01
8,10,70,2.730625e+01
8,10,80,2.730625e+01
8,10,90,2.730625e+01
8,10,100,2.730625e+01
8,10,1,8.850534e+01
8,10,2,5.215014e+01
8,10,3,4.954630e+01
8,10,5,4.926434e+01
8,10,10,4.534599e+01
8,10,20,3.913193e+01
8,10,30,3.618873e+01
8,10,40,3.618873e+01
8,10,50,3.456091e+01
8,10,60,3.456091e+01
8,10,70,3.253939e+01
8,10,80,3.253939e+01
8,10,90,3.253939e+01
8,10,100,3.253939e+01
8,10,1,7.286119e+01
8,10,2,7.286119e+01
8,10,3,5.973581e+01
8,10,5,3.684543e+01
8,10,10,3.684543e+01
8,10,20,3.684543e+01
8,10,30,3.684543e+01
8,10,40,3.684543e+01
8,10,50,2.962442e+01
8,10,60,2.962442e+01
8,10,70,2.962442e+01
8,10,80,2.962442e+01
8,10,90,2.962442e+01
8,10,100,2.962442e+01
8,10,1,8.290903e+01
8,10,2,5.576815e+01
8,10,3,5.576815e+01
8,10,5,4.598798e+01
8,10,10,3.910548e+01
8,10,20,3.749046e+01
8,10,30,2.876591e+01
8,10,40,2.876591e+01
8,10,50,2.876591e+01
8,10,60,2.876591e+01
8,10,70,2.876591e+01
8,10,80,2.876591e+01
8,10,90,2.876591e+01
8,10,100,2.876591e+01
8,10,1,4.311659e+01
8,10,2,4.311659e+01
8,10,3,4.311659e+01
8,10,5,4.311659e+01
8,10,10,3.931527e+01
8,10,20,3.684956e+01
8,10,30,3.684956e+01
8,10,40,3.053606e+01
8,10,50,2.132221e+01
8,10,60,2.132221e+01
8,10,70,2.132221e+01
8,10,80,1.895214e+01
8,10,90,1.895214e+01
8,10,100,1.895214e+01
8,10,1,6.722887e+01
8,10,2,5.091150e+01
8,10,3,5.091150e+01
8,10,5,4.375691e+01
8,10,10,4.375691e+01
8,10,20,3.513163e+01
8,10,30,3.513163e+01
8,10,40,3.513163e+01
8,10,50,3.317398e+01
8,10,60,3.317398e+01
8,10,70,3.317398e+01
8,10,80,2.919776e+01
8,10,90,2.396211e+01
8,10,100,2.396211e+01
8,10,1,7.592775e+01
8,10,2,5.940379e+01
8,10,3,5.110318e+01
8,10,5,4.167468e+01
8,10,10,2.611294e+01
8,10,20,2.611294e+01
8,10,30,2.611294e+01
8,10,40,2.611294e+01
8,10,50,2.611294e+01
8,10,60,2.611294e+01
8,10,70,2.611294e+01
8,10,80,2.611294e+01
8,10,90,2.611294e+01
8,10,100,2.611294e+01
8,10,1,6.602375e+01
8,10,2,5.838341e+01
8,10,3,5.838341e+01
8,10,5,5.163650e+01
8,10,10,4.152125e+01
8,10,20,4.152125e+01
8,10,30,3.468240e+01
8,10,40,2.861725e+01
8,10,50,2.644565e+01
8,10,60,2.644565e+01
8,10,70,2.644565e+01
8,10,80,2.644565e+01
8,10,90,2.644565e+01
8,10,100,2.475202e+01
