funcid,dim,milestone,error
11,30,1,4.057217e+03
11,30,2,2.280609e+03
11,30,3,1.081079e+03
11,30,5,9.371613e+02
11,30,10,8.081935e+02
11,30,20,4.477331e+02
11,30,30,4.159545e+02
11,30,40,4.084198e+02
11,30,50,3.711573e+02
11,30,60,3.672865e+02
11,30,70,3.377643e+02
11,30,80,3.377643e+02
11,30,90,3.377643e+02
11,30,100,3.377643e+02
11,30,1,3.797040e+03
11,30,2,1.327565e+03
11,30,3,9.708508e+02
11,30,5,8.686701e+02
11,30,10,5.785631e+02
11,30,20,5.746148e+02
11,30,30,4.443740e+02
11,30,40,4.346971e+02
11,30,50,4.346971e+02
11,30,60,4.135157e+02
11,30,70,3.613899e+02
11,30,80,3.613899e+02
11,30,90,3.613899e+02
11,30,100,3.613899e+02
11,30,1,2.718832e+03
11,30,2,1.250752e+03
11,30,3,5.383952e+02
11,30,5,5.383952e+02
11,30,10,4.886117e+02
11,30,20,4.728129e+02
11,30,30,4.049383e+02
11,30,40,3.457404e+02
11,30,50,3.417109e+02
11,30,60,3.140352e+02
11,30,70,3.103272e+02
11,30,80,3.103272e+02
11,30,90,3.103272e+02
11,30,100,3.103272e+02
11,30,1,2.790870e+03
11,30,2,1.245883e+03
11,30,3,7.913657e+02
11,30,5,7.421059e+02
11,30,10,5.269979e+02
11,30,20,4.872916e+02
11,30,30,4.486656e+02
11,30,40,3.780051e+02
11,30,50,3.716990e+02
11,30,60,3.365568e+02
11,30,70,2.859088e+02
11,30,80,2.859088e+02
11,30,90,2.859088e+02
11,30,100,2.859088e+02
11,30,1,3.623625e+03
11,30,2,2.136766e+03
11,30,3,1.482784e+03
11,30,5,9.939185e+02
11,30,10,7.106807e+02
11,30,20,6.520486e+02
11,30,30,5.425387e+02
11,30,40,4.141392e+02
11,30,50,4.061913e+02
11,30,60,3.911025e+02
11,30,70,3.587644e+02
11,30,80,3.587644e+02
11,30,90,3.587644e+02
11,30,100,3.587644e+02
